sale_id,sale_date,customer_id,product_id,product_name,product_line,quantity,unit_price,discount_pct,line_total,channel,region
SALE-000001,2024-02-05,CUST-00054,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,2,54.99,15,93.48,In-Store,West
SALE-000002,2024-06-04,CUST-00105,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,1,84.99,0,84.99,In-Store,Midwest
SALE-000003,2024-02-07,CUST-00184,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,2,74.99,0,149.98,In-Store,Northeast
SALE-000004,2024-08-02,CUST-00150,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,1,94.99,0,94.99,In-Store,Northeast
SALE-000005,2024-02-13,CUST-00093,PROD-0018,SummitPeak Hiking Boots,Apparel & Footwear,2,109.99,0,219.98,Online,Midwest
SALE-000006,2024-01-23,CUST-00171,PROD-0012,CrispAir Countertop Fryer,Home & Kitchen,1,89.99,0,89.99,In-Store,Midwest
SALE-000007,2024-06-18,CUST-00166,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,5,94.99,25,356.21,Online,West
SALE-000008,2024-09-18,CUST-00003,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,1,34.99,10,31.49,In-Store,South
SALE-000009,2024-07-19,CUST-00177,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,1,149.99,0,149.99,In-Store,Northeast
SALE-000010,2024-01-13,CUST-00177,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,1,39.99,0,39.99,Online,Northeast
SALE-000011,2024-03-13,CUST-00022,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,3,34.99,0,104.97,Online,West
SALE-000012,2024-06-27,CUST-00201,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,1,64.99,0,64.99,Online,Midwest
SALE-000013,2024-06-02,CUST-00179,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,1,54.99,0,54.99,In-Store,Midwest
SALE-000014,2024-03-25,CUST-00006,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,2,24.99,20,39.98,In-Store,Midwest
SALE-000015,2024-06-18,CUST-00133,PROD-0006,SoundWave Bluetooth Speaker,Electronics & Accessories,2,49.99,0,99.98,Marketplace,Midwest
SALE-000016,2024-04-05,CUST-00060,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,2,94.99,10,170.98,Online,South
SALE-000017,2024-08-07,CUST-00008,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,1,64.99,0,64.99,In-Store,West
SALE-000018,2024-02-02,CUST-00053,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,2,44.99,0,89.98,In-Store,Midwest
SALE-000019,2024-04-10,CUST-00138,PROD-0006,SoundWave Bluetooth Speaker,Electronics & Accessories,1,49.99,0,49.99,Online,Northeast
SALE-000020,2024-06-09,CUST-00126,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,5,39.99,0,199.95,In-Store,Midwest
SALE-000021,2024-08-22,CUST-00151,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,1,34.99,10,31.49,In-Store,Northeast
SALE-000022,2024-02-13,CUST-00181,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,4,59.99,10,215.96,Online,Northeast
SALE-000023,2024-07-10,CUST-00062,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,1,59.99,10,53.99,In-Store,Midwest
SALE-000024,2024-08-04,CUST-00108,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,2,59.99,0,119.98,In-Store,Midwest
SALE-000025,2024-09-07,CUST-00178,PROD-0006,SoundWave Bluetooth Speaker,Electronics & Accessories,2,49.99,0,99.98,Online,West
SALE-000026,2024-07-02,CUST-00216,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,2,54.99,25,82.48,In-Store,Midwest
SALE-000027,2024-09-15,CUST-00050,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,5,94.99,10,427.45,Online,West
SALE-000028,2024-08-15,CUST-00126,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,2,74.99,0,149.98,Online,Midwest
SALE-000029,2024-05-20,CUST-00008,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,1,149.99,0,149.99,Online,West
SALE-000030,2024-09-10,CUST-00200,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,2,54.99,0,109.98,Online,South
SALE-000031,2024-07-06,CUST-00030,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,2,44.99,0,89.98,In-Store,Midwest
SALE-000032,2024-08-05,CUST-00195,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,1,54.99,0,54.99,In-Store,South
SALE-000033,2024-01-17,CUST-00193,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,1,149.99,0,149.99,Online,South
SALE-000034,2024-03-01,CUST-00210,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,1,229.99,15,195.49,Online,West
SALE-000035,2024-08-07,CUST-00208,PROD-0012,CrispAir Countertop Fryer,Home & Kitchen,3,89.99,0,269.97,Online,South
SALE-000036,2024-06-28,CUST-00053,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,3,64.99,0,194.97,In-Store,Midwest
SALE-000037,2024-05-29,CUST-00044,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,5,24.99,0,124.95,Online,South
SALE-000038,2024-02-18,CUST-00220,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,5,39.99,0,199.95,In-Store,Northeast
SALE-000039,2024-03-05,CUST-00106,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,5,39.99,10,179.96,Online,South
SALE-000040,2024-07-20,CUST-00038,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,3,24.99,0,74.97,In-Store,Midwest
SALE-000041,2024-02-08,CUST-00069,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,1,74.99,10,67.49,Marketplace,South
SALE-000042,2024-05-22,CUST-00024,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,1,94.99,10,85.49,Marketplace,Northeast
SALE-000043,2024-01-02,CUST-00117,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,1,84.99,15,72.24,In-Store,West
SALE-000044,2024-07-02,CUST-00024,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,2,54.99,15,93.48,In-Store,Northeast
SALE-000045,2024-04-18,CUST-00102,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,5,64.99,0,324.95,Online,West
SALE-000046,2024-03-07,CUST-00073,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,1,24.99,0,24.99,In-Store,South
SALE-000047,2024-08-23,CUST-00088,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,1,39.99,0,39.99,Marketplace,Midwest
SALE-000048,2024-08-07,CUST-00041,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,1,54.99,0,54.99,In-Store,Northeast
SALE-000049,2024-05-20,CUST-00034,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,1,59.99,0,59.99,Online,Northeast
SALE-000050,2024-03-25,CUST-00022,PROD-0012,CrispAir Countertop Fryer,Home & Kitchen,2,89.99,0,179.98,In-Store,West
