complaint_id,complaint_date,customer_id,product_id,product_name,product_line,category,channel,status,resolution_days,satisfaction_score
COMP-00001,2024-08-19,CUST-00119,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,Product defect / malfunction,Phone,Open,,
COMP-00002,2024-03-10,CUST-00047,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Misleading product description,Phone,Resolved - Refund,8,3
COMP-00003,2024-04-13,CUST-00117,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Misleading product description,Email,Resolved - Replacement,6,2
COMP-00004,2024-08-18,CUST-00024,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Battery life shorter than advertised,Online Chat,Resolved - Refund,9,5
COMP-00005,2024-07-12,CUST-00157,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Other,In-Store,Resolved - Refund,3,3
COMP-00006,2024-03-15,CUST-00042,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,Shipping damage,Phone,Open,,
COMP-00007,2024-06-07,CUST-00108,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Battery life shorter than advertised,Online Chat,Open,,
COMP-00008,2024-04-02,CUST-00074,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Product defect / malfunction,Phone,Escalated,4,4
COMP-00009,2024-09-11,CUST-00004,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,Misleading product description,Social Media,Resolved - Refund,1,5
COMP-00010,2024-08-31,CUST-00061,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Misleading product description,Social Media,Resolved - Refund,2,1
COMP-00011,2024-05-22,CUST-00063,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Other,Phone,Resolved - Store Credit,4,3
COMP-00012,2024-06-27,CUST-00038,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Product defect / malfunction,Social Media,Resolved - Replacement,1,4
COMP-00013,2024-02-14,CUST-00085,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Product defect / malfunction,Email,Resolved - Replacement,3,4
COMP-00014,2024-03-31,CUST-00157,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Misleading product description,In-Store,Open,,
COMP-00015,2024-06-02,CUST-00010,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Difficulty with returns/refund processing,Phone,Resolved - Refund,7,4
COMP-00016,2024-02-03,CUST-00216,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Difficulty with returns/refund processing,In-Store,Resolved - Refund,2,4
COMP-00017,2024-09-25,CUST-00135,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Shipping damage,Phone,Resolved - Store Credit,10,2
COMP-00018,2024-09-27,CUST-00147,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Product defect / malfunction,Social Media,Resolved - Refund,12,4
COMP-00019,2024-06-11,CUST-00110,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Difficulty with returns/refund processing,In-Store,Resolved - Refund,10,3
COMP-00020,2024-09-11,CUST-00158,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Other,Online Chat,Open,,
COMP-00021,2024-04-02,CUST-00127,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Other,Email,Resolved - Replacement,5,1
COMP-00022,2024-08-26,CUST-00031,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Battery life shorter than advertised,Email,Open,,
COMP-00023,2024-07-31,CUST-00205,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Misleading product description,Social Media,Resolved - Replacement,6,3
COMP-00024,2024-04-13,CUST-00003,PROD-0013,StrideLine Trail Running Shoe,Apparel & Footwear,Sizing inconsistency,In-Store,Resolved - Replacement,2,4
COMP-00025,2024-06-14,CUST-00130,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Product defect / malfunction,In-Store,Resolved - Replacement,6,4
COMP-00026,2024-01-15,CUST-00186,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Shipping damage,Online Chat,Resolved - Replacement,6,5
COMP-00027,2024-03-10,CUST-00205,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Misleading product description,Social Media,Resolved - Replacement,8,4
COMP-00028,2024-07-30,CUST-00119,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Sizing inconsistency,In-Store,Resolved - Replacement,9,4
COMP-00029,2024-01-10,CUST-00143,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Shipping damage,In-Store,Resolved - Refund,6,2
COMP-00030,2024-01-16,CUST-00039,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Difficulty with returns/refund processing,Social Media,Escalated,11,3
COMP-00031,2024-07-18,CUST-00147,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Shipping damage,In-Store,Resolved - Refund,5,1
COMP-00032,2024-02-14,CUST-00070,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Misleading product description,Online Chat,Escalated,6,4
COMP-00033,2024-06-03,CUST-00056,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Shipping damage,Email,Resolved - Replacement,1,2
COMP-00034,2024-01-13,CUST-00114,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Misleading product description,Email,Escalated,3,4
COMP-00035,2024-09-25,CUST-00124,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Difficulty with returns/refund processing,Email,Open,,
COMP-00036,2024-02-20,CUST-00197,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,Color/material mismatch,Email,Escalated,9,3
COMP-00037,2024-08-23,CUST-00186,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Misleading product description,Social Media,Open,,
COMP-00038,2024-06-08,CUST-00030,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Product defect / malfunction,Phone,Resolved - Store Credit,10,4
COMP-00039,2024-01-24,CUST-00120,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Product defect / malfunction,In-Store,Resolved - Refund,11,1
COMP-00040,2024-06-08,CUST-00148,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Sizing inconsistency,Email,Escalated,6,3
COMP-00041,2024-09-29,CUST-00074,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Difficulty with returns/refund processing,Phone,Open,,
COMP-00042,2024-03-21,CUST-00070,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Difficulty with returns/refund processing,Social Media,Resolved - Replacement,10,5
COMP-00043,2024-06-28,CUST-00027,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Other,In-Store,Resolved - Replacement,3,3
COMP-00044,2024-06-08,CUST-00044,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Other,Online Chat,Escalated,9,1
COMP-00045,2024-08-29,CUST-00034,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Battery life shorter than advertised,Phone,Resolved - Replacement,7,2
COMP-00046,2024-04-01,CUST-00110,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Missing parts or accessories,Online Chat,Resolved - Refund,10,4
COMP-00047,2024-04-11,CUST-00080,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Missing parts or accessories,Social Media,Open,,
COMP-00048,2024-08-26,CUST-00021,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Other,Online Chat,Resolved - Replacement,12,2
COMP-00049,2024-08-26,CUST-00117,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Misleading product description,Email,Resolved - Replacement,4,4
COMP-00050,2024-04-03,CUST-00094,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Missing parts or accessories,In-Store,Escalated,6,5
COMP-00051,2024-02-03,CUST-00125,PROD-0001,AuraSound WB-200 Wireless Earbuds,Electronics & Accessories,Misleading product description,Online Chat,Resolved - Replacement,8,3
COMP-00052,2024-06-27,CUST-00073,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Other,Phone,Resolved - Refund,9,4
COMP-00053,2024-02-24,CUST-00210,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Difficulty with returns/refund processing,In-Store,Resolved - Refund,2,5
COMP-00054,2024-07-30,CUST-00119,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Shipping damage,Email,Resolved - Store Credit,9,5
COMP-00055,2024-06-23,CUST-00099,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Shipping damage,Social Media,Open,,
COMP-00056,2024-08-10,CUST-00111,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Other,Social Media,Open,,
COMP-00057,2024-03-29,CUST-00178,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Battery life shorter than advertised,Social Media,Resolved - Store Credit,12,5
COMP-00058,2024-08-25,CUST-00030,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Difficulty with returns/refund processing,Email,Resolved - Refund,8,4
COMP-00059,2024-02-25,CUST-00104,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Battery life shorter than advertised,Online Chat,Open,,
COMP-00060,2024-02-01,CUST-00084,PROD-0009,BrewMaster Drip Coffee Maker,Home & Kitchen,Product defect / malfunction,Social Media,Resolved - Replacement,3,1
COMP-00061,2024-03-17,CUST-00194,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Misleading product description,Social Media,Resolved - Refund,7,5
COMP-00062,2024-06-11,CUST-00051,PROD-0004,HomeHub Smart Plug 4-Pack,Electronics & Accessories,Difficulty with returns/refund processing,In-Store,Resolved - Refund,11,4
COMP-00063,2024-06-25,CUST-00184,PROD-0017,FlexFit Performance Leggings,Apparel & Footwear,Product defect / malfunction,Social Media,Resolved - Refund,10,4
COMP-00064,2024-05-30,CUST-00217,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Product defect / malfunction,Phone,Resolved - Refund,9,1
COMP-00065,2024-07-02,CUST-00181,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Product defect / malfunction,Email,Escalated,1,4
COMP-00066,2024-07-20,CUST-00180,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Missing parts or accessories,Online Chat,Resolved - Replacement,7,4
COMP-00067,2024-04-18,CUST-00112,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Missing parts or accessories,Email,Resolved - Replacement,3,5
COMP-00068,2024-07-03,CUST-00099,PROD-0016,TrailBlazer Rain Shell,Apparel & Footwear,Color/material mismatch,Email,Resolved - Refund,5,3
COMP-00069,2024-01-09,CUST-00003,PROD-0002,VoltEdge 65W GaN Charger,Electronics & Accessories,Shipping damage,Online Chat,Open,,
COMP-00070,2024-03-10,CUST-00169,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Product defect / malfunction,Online Chat,Resolved - Replacement,7,4
COMP-00071,2024-08-20,CUST-00160,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Other,Online Chat,Resolved - Refund,8,4
COMP-00072,2024-08-05,CUST-00058,PROD-0003,"PixelClear 27"" Monitor",Electronics & Accessories,Other,Email,Resolved - Replacement,8,5
COMP-00073,2024-07-06,CUST-00069,PROD-0008,CopperCraft 10-Piece Cookware Set,Home & Kitchen,Product defect / malfunction,Online Chat,Escalated,10,4
COMP-00074,2024-09-03,CUST-00029,PROD-0011,GrindWell Manual Coffee Grinder,Home & Kitchen,Missing parts or accessories,Social Media,Resolved - Replacement,12,4
COMP-00075,2024-02-10,CUST-00120,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Other,Email,Escalated,2,5
COMP-00076,2024-02-09,CUST-00162,PROD-0014,UrbanFlex Denim Jacket,Apparel & Footwear,Sizing inconsistency,In-Store,Resolved - Store Credit,10,1
COMP-00077,2024-01-06,CUST-00088,PROD-0010,LinenLoft Bedding Bundle,Home & Kitchen,Misleading product description,Social Media,Resolved - Refund,8,4
COMP-00078,2024-05-30,CUST-00108,PROD-0007,HearthGlow 6-Quart Slow Cooker,Home & Kitchen,Difficulty with returns/refund processing,Social Media,Resolved - Replacement,12,4
COMP-00079,2024-05-13,CUST-00187,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Product defect / malfunction,Email,Resolved - Store Credit,10,1
COMP-00080,2024-01-14,CUST-00169,PROD-0005,StrideFit Fitness Tracker,Electronics & Accessories,Difficulty with returns/refund processing,Social Media,Resolved - Refund,3,2
COMP-00081,2024-05-22,CUST-00218,PROD-0015,CozyKnit Wool Sweater,Apparel & Footwear,Difficulty with returns/refund processing,In-Store,Resolved - Replacement,5,4
